"ID_COMUNA_D","k","empsit","factor_expansion","empcom","fe_empcom","sum_fe_empcom","emp"
18,212,188.93109438,94.46554719,4162.33520625,393197.272846608,18595778.5734341,363.341127626799
19,141,90.65311489,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,147.529289678381
19,142,838.30741302,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,1364.26528007373
19,144,1167.73583045,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,1900.3785783569
19,150,2001.22084303,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,3256.79586211719
19,151,1803.8617924,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,2935.61284941682
19,152,300.44350512,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,488.943120736892
19,149,270.40754783,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,440.062467830692
19,154,4938.3871521,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,8036.75361392929
19,155,4366.55373021,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,7106.14931370027
19,156,529.75691211,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,862.128797677111
19,153,4601.33261882,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,7488.22954017833
19,158,765.20204184,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,1245.29326797081
19,159,1757.04458367,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,2859.42231192627
19,160,1078.35644187,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,1754.92215664325
19,157,3647.491077488,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,5935.94349651405
19,162,10279.38128356,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,16728.7116492027
19,163,5033.76772319,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,8191.97638723499
19,164,5033.66332337,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,8191.80648649517
19,165,2407.697651706,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,3918.29806121394
19,166,275.28719835,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,448.003633183564
19,167,1659.05406795,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,2699.95210291104
19,168,2054.89133952,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,3344.13947114225
19,169,1327.66486519,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,2160.64781370276
19,170,3512.9856287,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,5717.04872007262
19,171,3906.41898928,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,6357.32395267303
19,172,1098.80177775,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,1788.19498883741
19,173,1172.60209633,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,1908.29796148602
19,161,746.45896586,79.93884061,78133.211871414,6245878.37013632,18595778.5734341,1214.7907012463
